Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,EmployeeNumber,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,0,1102,0,1,1,2,0,2,1,94,3,2,0,4,0,5993,19479,8,1,11,3,1,80,0,8,0,1,6,4,0,5
0,49,1,279,1,8,2,1,0,3,0,61,2,2,1,2,1,5130,24907,1,0,23,4,4,80,1,10,3,3,10,7,1,7
1,37,0,1373,1,2,4,2,5,4,0,92,2,1,2,3,0,2090,2396,6,1,15,3,2,80,0,7,3,3,0,0,0,0
0,33,1,1392,1,3,5,4,0,4,1,56,3,1,1,3,1,2909,23159,1,1,11,3,3,80,0,8,3,3,8,7,3,0
0,27,0,591,1,2,7,1,1,1,0,40,3,1,2,2,1,3468,16632,9,0,12,3,4,80,1,6,3,3,2,2,2,2
0,32,1,1005,1,2,8,2,0,4,0,79,3,1,2,4,0,3068,11864,0,0,13,3,3,80,0,8,2,2,7,7,3,6
0,59,0,1324,1,3,10,3,1,3,1,81,4,1,2,1,1,2670,9964,4,1,20,4,1,80,3,12,3,2,1,0,0,0
0,30,0,1358,1,24,11,1,0,4,0,67,3,1,2,3,2,2693,13335,1,0,22,4,2,80,1,1,2,3,1,0,0,0
0,38,1,216,1,23,12,3,0,4,0,44,2,3,3,3,0,9526,8787,0,0,21,4,2,80,0,10,2,3,9,7,1,8
0,36,0,1299,1,27,13,3,1,3,0,94,3,2,4,3,1,5237,16577,6,0,13,3,2,80,2,17,3,2,7,7,7,7
0,35,0,809,1,16,14,3,1,1,0,84,4,1,2,2,1,2426,16479,0,0,13,3,3,80,1,6,5,3,5,4,0,3
0,29,0,153,1,15,15,2,0,4,1,49,2,2,2,3,0,4193,12682,0,1,12,3,4,80,0,10,3,3,9,5,0,8
0,31,0,670,1,26,16,1,0,1,0,31,3,1,1,3,2,2911,15170,1,0,17,3,4,80,1,5,1,2,5,2,4,3
0,34,0,1346,1,19,18,2,1,2,0,93,3,1,2,4,2,2661,8758,0,0,11,3,3,80,1,3,2,3,2,2,1,2
1,28,0,103,1,24,19,3,0,3,0,50,2,1,2,3,0,2028,12947,5,1,14,3,2,80,0,6,4,3,4,2,0,3
0,29,0,1389,1,21,20,4,0,2,1,51,4,3,3,1,2,9980,10195,1,0,11,3,3,80,1,10,1,3,10,9,8,8
0,32,0,334,1,5,21,2,0,1,0,80,4,1,1,2,2,3298,15053,0,1,12,3,4,80,2,7,5,2,6,2,0,5
0,22,2,1123,1,16,22,2,1,4,0,96,4,1,2,4,2,2935,7324,1,1,13,3,2,80,2,1,2,2,1,0,0,0
0,53,0,1219,0,2,23,4,0,1,1,78,2,4,5,4,1,15427,22021,2,0,16,3,3,80,0,31,3,3,25,8,3,7
0,38,0,371,1,2,24,3,0,4,0,45,3,1,1,4,0,3944,4306,5,1,11,3,3,80,0,6,3,3,3,2,1,2
0,24,2,673,1,11,26,2,5,1,1,96,4,2,3,3,2,4011,8232,0,0,18,3,4,80,1,5,5,2,4,2,1,3
1,36,0,1218,0,9,27,4,0,3,0,82,2,1,6,1,0,3407,6986,7,0,23,4,2,80,0,10,4,3,5,3,0,3
0,34,0,419,1,7,28,4,0,1,1,53,3,3,7,2,0,11994,21293,0,0,11,3,3,80,0,13,4,3,12,6,2,11
0,21,0,391,1,15,30,2,0,3,0,96,3,1,1,4,0,1232,19281,1,0,14,3,4,80,0,0,6,3,0,0,0,0
1,34,0,699,1,6,31,1,1,2,0,83,3,1,1,1,0,2960,17102,2,0,11,3,3,80,0,8,2,3,4,2,1,3
0,53,0,1282,1,5,32,3,5,3,1,58,3,5,5,3,2,19094,10735,4,0,11,3,4,80,1,26,3,2,14,13,4,8
1,32,1,1125,1,16,33,1,0,2,1,72,1,1,1,1,0,3919,4681,1,1,22,4,2,80,0,10,5,3,10,2,6,7
0,42,0,691,0,8,35,4,2,3,0,48,3,2,0,2,1,6825,21173,0,0,11,3,4,80,1,10,2,3,9,7,4,2
0,44,0,477,1,7,36,4,1,1,1,42,2,3,4,4,1,10248,2094,3,0,14,3,4,80,1,24,4,3,22,6,5,17
0,46,0,705,0,2,38,4,2,2,1,83,3,5,5,1,0,18947,22822,3,0,12,3,4,80,0,22,2,2,2,2,2,1
0,33,0,924,1,2,39,3,1,3,0,78,3,1,2,4,0,2496,6670,4,0,11,3,4,80,0,7,3,3,1,1,0,0
0,44,0,1459,1,10,40,4,5,4,0,41,3,2,4,4,1,6465,19121,2,1,13,3,4,80,0,9,5,4,4,2,1,3
0,30,0,125,1,9,41,2,1,4,0,83,2,1,2,3,0,2206,16117,1,0,13,3,1,80,0,10,5,3,10,0,1,8
1,39,0,895,0,5,42,3,3,4,0,56,3,2,6,4,1,2086,3335,3,0,14,3,3,80,1,19,6,4,1,0,0,0
1,24,0,813,1,1,45,3,1,2,0,61,3,1,1,4,1,2293,3020,2,1,16,3,1,80,1,6,2,2,2,0,2,0
0,43,0,1273,1,2,46,2,1,4,1,72,4,1,1,3,2,2645,21923,1,0,12,3,4,80,2,6,3,2,5,3,1,4
1,50,0,869,0,3,47,2,2,1,0,86,2,1,6,3,1,2683,3810,1,1,14,3,3,80,0,3,2,3,3,2,0,2
0,35,0,890,0,2,49,3,2,4,1,97,3,1,6,4,1,2014,9687,1,0,13,3,1,80,0,2,3,3,2,2,2,2
0,36,0,852,1,5,51,4,0,2,1,82,2,1,1,1,1,3419,13072,9,1,14,3,4,80,1,6,3,4,1,1,0,0
0,33,1,1141,0,1,52,3,0,3,1,42,4,2,0,1,1,5376,3193,2,0,19,3,1,80,2,10,3,3,5,3,1,3
0,35,0,464,1,4,53,2,5,3,0,75,3,1,2,4,2,1951,10910,1,0,12,3,3,80,1,1,3,3,1,0,0,0
0,27,0,1240,1,2,54,4,0,4,1,33,3,1,2,1,2,2341,19715,1,0,13,3,4,80,1,1,6,3,1,0,0,0
1,26,0,1357,1,25,55,3,0,1,0,48,1,1,2,3,0,2293,10558,1,0,12,3,3,80,0,1,2,2,1,0,0,1
0,27,1,994,0,8,56,3,0,4,0,37,3,3,0,3,0,8726,2975,1,0,15,3,4,80,0,9,0,3,9,8,1,7
0,30,1,721,1,1,57,2,1,3,1,58,3,2,2,4,0,4011,10781,1,0,23,4,4,80,0,12,2,3,12,8,3,7
1,41,0,1360,1,12,58,3,3,2,1,49,3,5,7,3,1,19545,16280,1,0,12,3,4,80,0,23,0,3,22,15,15,8
0,34,2,1065,0,23,60,4,2,2,0,72,3,2,0,3,0,4568,10034,0,0,20,4,3,80,0,10,2,3,9,5,8,7
0,37,0,408,1,19,61,2,0,2,0,73,3,1,1,2,1,3022,10227,4,0,21,4,1,80,0,8,1,3,1,0,0,0
0,46,1,1211,0,5,62,4,2,1,0,98,3,2,0,4,0,5772,20445,4,1,21,4,3,80,0,14,4,3,9,6,0,8
0,35,0,1229,1,8,63,1,0,4,0,36,4,1,2,4,1,2269,4892,1,0,19,3,4,80,0,1,2,3,1,0,0,1
1,48,0,626,1,1,64,2,0,1,0,98,2,3,2,3,0,5381,19294,9,1,13,3,4,80,0,23,2,3,1,0,0,0
1,28,0,1434,1,5,65,4,3,3,0,50,3,1,2,3,0,3441,11179,1,1,13,3,3,80,0,2,3,2,2,2,2,2
0,44,0,1488,0,1,68,5,2,2,1,75,3,2,0,1,2,5454,4009,5,1,21,4,3,80,1,9,2,2,4,3,1,3
0,35,2,1097,1,11,70,2,1,3,0,79,2,3,4,1,1,9884,8302,2,1,13,3,3,80,1,10,3,3,4,0,2,3
0,26,0,1443,0,23,72,3,2,3,1,47,2,2,0,4,1,4157,21436,7,1,19,3,3,80,1,5,2,2,2,2,0,0
0,33,1,515,1,1,73,2,0,1,1,98,3,3,7,4,0,13458,15146,1,1,12,3,3,80,0,15,1,3,15,14,8,12
0,35,1,853,0,18,74,5,0,2,0,71,3,3,0,1,1,9069,11031,1,0,22,4,4,80,1,9,3,2,9,8,1,8
0,35,0,1142,1,23,75,4,1,3,1,30,3,1,2,1,1,4014,16002,3,1,15,3,3,80,1,4,3,3,2,2,2,2
0,31,0,655,1,7,76,4,0,4,0,48,3,2,2,4,2,5915,9528,3,0,22,4,4,80,1,10,3,2,7,7,1,7
0,37,0,1115,1,1,77,4,0,1,0,51,2,2,3,3,2,5993,2689,1,0,18,3,3,80,1,7,2,4,7,5,0,7
0,32,0,427,1,1,78,3,1,1,0,33,3,2,3,4,1,6162,10877,1,1,22,4,2,80,1,9,3,3,9,8,7,8
0,38,1,653,1,29,79,5,0,4,1,50,3,2,2,4,0,2406,5456,1,0,11,3,4,80,0,10,2,3,10,3,9,9
0,50,0,989,1,7,80,2,1,2,1,43,2,5,7,3,2,18740,16701,5,1,12,3,4,80,1,29,2,2,27,3,13,8
0,59,0,1435,0,25,81,3,0,1,1,99,3,3,0,1,0,7637,2354,7,0,11,3,4,80,0,28,3,2,21,16,7,9
0,36,0,1223,1,8,83,3,3,3,1,59,3,3,4,3,2,10096,8202,1,0,13,3,2,80,3,17,2,3,17,14,12,8
0,55,0,836,1,8,84,3,1,4,1,33,3,4,5,3,2,14756,19730,2,1,14,3,3,80,3,21,2,3,5,0,0,2
